Campaign_ID,Campaign_Name,Products,Device,Impressions,Clicks,Conversions,Spend,Revenue
1,Travel_SMB_Mobile,Business,Mobile,9767,6667,930,9446.76,8169.99
2,Platinum_High Value_Mobile,Business,Tablet,67405,193,87,9760.95,95143.71
3,Cashback_SMB_Mobile,Platinum,Desktop,35093,3273,394,9375.23,55159.42
4,Gold_SMB_Mobile,Travel,Desktop,23971,9849,554,18322.82,16468.74
5,Cashback_Remarketing_Desktop,Cashback,Desktop,52943,4581,558,608.04,56019.82
6,Platinum_Remarketing_Mobile,Platinum,Mobile,43169,1018,166,19609.14,45705.97
7,Travel_Remarketing_Desktop,Business,Mobile,5247,9933,174,21056.51,35142.0
8,Business_Prospecting_Desktop,Platinum,Tablet,72586,2617,198,11070.86,47774.67
9,Platinum_Students_Mobile,Platinum,Tablet,86526,6213,17,22235.35,67292.31
10,Cashback_SMB_Mobile,Platinum,Tablet,93679,5678,778,9835.46,20752.7
11,Gold_High Value_Mobile,Platinum,Desktop,71869,4928,328,17520.71,54250.2
12,Platinum_High Value_Desktop,Business,Tablet,86647,8328,737,10026.21,81486.01
13,Gold_Prospecting_Desktop,Travel,Tablet,91053,2675,516,1427.16,23026.66
14,Gold_SMB_Desktop,Travel,Tablet,6606,6263,635,2543.95,52037.59
15,Gold_Prospecting_Mobile,Gold,Tablet,76708,2989,714,11330.21,96607.61
16,Business_High Value_Mobile,Gold,Tablet,16347,9233,695,24757.35,80250.09
17,Travel_Students_Desktop,Cashback,Mobile,21222,5549,948,4850.14,59708.72
18,Platinum_Students_Mobile,Travel,Mobile,76070,3580,641,22441.76,75162.24
19,Travel_Prospecting_Desktop,Platinum,Desktop,43649,6969,531,23025.16,53037.49
20,Business_SMB_Mobile,Gold,Desktop,92016,9987,731,10536.4,98670.28
21,Cashback_Prospecting_Desktop,Platinum,Desktop,45434,5437,734,11814.72,17748.81
22,Cashback_High Value_Desktop,Cashback,Mobile,76590,8755,275,12819.1,72238.37
23,Cashback_High Value_Desktop,Travel,Mobile,78592,5364,71,19374.97,1589.47
24,Travel_Remarketing_Mobile,Business,Tablet,17919,3200,95,3531.25,13443.81
25,Business_High Value_Mobile,Cashback,Desktop,16398,2014,956,8551.61,72459.41
26,Cashback_SMB_Desktop,Business,Tablet,99990,4839,566,4682.21,76175.4
27,Gold_Students_Mobile,Travel,Mobile,21156,9504,210,22021.15,4900.38
28,Platinum_Prospecting_Desktop,Business,Tablet,40524,3101,722,2227.69,34051.97
29,Gold_Students_Desktop,Travel,Tablet,9929,2351,625,18818.75,12700.87
