Customer_ID,Channel,Revenue,Conversions
1,Social,115.47,10
2,Social,1431.29,1
3,Email,7267.03,9
4,Social,7907.56,10
5,Affiliate,7687.4,3
6,Display,3310.91,9
7,Organic Search,8761.18,18
8,Paid Search,8906.03,3
9,Organic Search,8219.0,7
10,Display,7396.65,16
11,Display,8426.6,10
12,Affiliate,6617.29,7
13,Affiliate,9644.97,7
14,Social,6337.57,5
15,Organic Search,1734.9,11
16,Organic Search,1907.94,7
17,Email,4363.33,7
18,Email,7222.67,4
19,Affiliate,1489.88,12
20,Email,2028.06,2
21,Organic Search,864.01,8
22,Social,1758.36,12
23,Paid Search,2279.2,1
24,Organic Search,5629.58,15
25,Social,3945.55,8
26,Paid Search,1028.76,7
27,Social,1668.34,6
28,Social,5247.05,5
29,Email,1405.74,14
30,Organic Search,7316.05,1
31,Paid Search,1043.42,1
32,Email,1982.78,11
33,Paid Search,8772.52,19
34,Affiliate,5382.38,5
35,Paid Search,9892.78,14
36,Display,1609.72,15
37,Paid Search,866.76,9
38,Social,851.13,5
39,Paid Search,9359.89,3
40,Affiliate,6467.81,14
41,Email,3436.94,11
42,Affiliate,3902.45,13
43,Display,7031.64,2
44,Display,6204.96,16
45,Affiliate,3622.69,6
46,Social,6931.14,11
47,Email,3491.67,14
48,Display,4578.6,10
49,Display,8522.9,7
50,Affiliate,1270.75,1
51,Display,4381.19,8
52,Organic Search,1009.89,2
53,Email,483.52,3
54,Display,9664.14,12
55,Email,5669.06,3
56,Social,9773.32,17
57,Email,8602.83,8
58,Social,9854.31,19
59,Organic Search,9352.74,4
60,Social,8804.61,11
61,Affiliate,7270.0,12
62,Social,7373.17,5
63,Paid Search,9432.71,2
64,Social,9772.39,11
65,Organic Search,9445.86,18
66,Social,4883.56,15
67,Social,8781.8,17
68,Organic Search,5151.19,5
69,Social,5686.09,19
70,Social,8258.03,5
71,Email,8317.91,8
72,Affiliate,8255.88,19
73,Paid Search,8301.17,12
74,Social,4326.83,4
75,Display,5351.77,14
76,Organic Search,2602.13,16
77,Display,4688.04,3
78,Affiliate,9611.09,6
79,Display,8184.06,2
80,Display,3690.5,1
81,Affiliate,6365.9,10
82,Affiliate,2608.74,13
83,Display,2150.67,2
84,Organic Search,4234.03,18
85,Paid Search,1800.85,3
86,Affiliate,5591.94,5
87,Display,4305.48,4
88,Affiliate,1468.17,5
89,Affiliate,7034.68,7
90,Email,7237.93,15
91,Social,8915.34,14
92,Display,7150.01,9
93,Display,2250.33,14
94,Social,6663.72,18
95,Social,9765.4,8
96,Affiliate,8538.85,12
97,Organic Search,4395.4,10
98,Affiliate,6991.07,9
99,Social,260.54,2
100,Paid Search,2267.9,16
101,Email,4050.74,12
102,Display,4166.46,17
103,Organic Search,8796.34,4
104,Display,9891.88,17
105,Paid Search,4602.6,4
106,Affiliate,3963.25,1
107,Display,1400.67,1
108,Email,2417.38,14
109,Paid Search,1484.31,4
110,Display,3529.97,3
111,Affiliate,7498.6,1
112,Social,316.92,19
113,Social,8727.65,18
114,Affiliate,7254.25,12
115,Email,3749.24,4
116,Paid Search,5301.16,2
117,Organic Search,1178.68,14
118,Social,7811.86,2
119,Social,7838.12,10
120,Display,3843.68,1
121,Paid Search,2680.67,13
122,Social,5887.98,2
123,Display,3295.11,5
124,Organic Search,7070.87,2
125,Organic Search,7154.99,1
126,Social,9786.54,13
127,Social,3592.01,18
128,Social,653.02,8
129,Paid Search,8860.7,1
130,Social,194.36,9
131,Display,4530.29,6
132,Organic Search,2646.61,19
133,Paid Search,4162.4,8
134,Organic Search,1827.51,8
135,Paid Search,6777.18,19
136,Organic Search,5659.83,17
137,Affiliate,4100.96,19
138,Social,6678.39,7
139,Social,926.09,8
140,Display,8594.71,19
141,Social,4597.54,2
142,Organic Search,6196.24,8
143,Display,2839.08,14
144,Organic Search,9723.52,2
145,Email,4568.11,18
146,Display,1940.81,16
147,Display,1674.13,8
148,Paid Search,2849.06,18
149,Affiliate,7749.47,7
150,Organic Search,3148.9,10
151,Organic Search,915.25,19
152,Organic Search,4525.54,10
153,Social,2221.63,16
154,Paid Search,9217.15,13
155,Paid Search,3792.48,5
156,Organic Search,3220.21,17
157,Social,4538.5,11
158,Organic Search,384.28,1
159,Social,5356.56,13
160,Affiliate,9869.12,1
161,Email,3497.13,7
162,Paid Search,9357.94,6
163,Email,1306.09,13
164,Display,5940.78,14
165,Paid Search,1777.56,8
166,Email,8803.98,3
167,Email,7276.43,5
168,Display,8763.11,16
169,Social,6954.81,12
170,Affiliate,6757.32,8
171,Affiliate,5332.93,4
172,Affiliate,5501.3,17
173,Display,7851.48,5
174,Social,5770.33,10
175,Affiliate,4385.14,4
176,Display,7105.11,7
177,Paid Search,9643.37,2
178,Affiliate,9105.06,9
179,Email,3321.4,19
180,Email,3930.32,7
181,Social,9579.1,2
182,Display,2405.24,1
183,Organic Search,1365.04,10
