Date,Query,Impressions,Clicks,Conversions,Spend,Revenue
2024-04-12,business credit card,5646,1366,186,932.35,15382.56
2025-03-11,premium credit card,2025,1393,181,3514.95,3902.59
2024-09-27,best cashback credit card,8858,1274,30,1090.85,2100.22
2024-04-16,best cashback credit card,3015,1089,40,3911.43,13079.09
2024-03-12,best cashback credit card,6998,1143,187,1058.18,10097.9
2025-12-01,small business credit card,8543,1082,63,3082.78,17538.58
2024-01-21,credit card for startups,5752,1788,48,3237.17,10758.67
2025-09-06,airport lounge access card,3601,1049,124,2552.95,9007.46
2024-05-01,airport lounge access card,7374,1106,68,4984.11,9862.95
2025-04-11,small business credit card,1702,893,135,1910.42,15689.97
2024-08-02,business credit card,7459,211,175,4422.44,562.44
2024-11-26,business credit card,613,102,43,887.68,18380.59
2025-04-03,best rewards card,8733,1682,144,1719.19,14340.94
2024-03-28,small business credit card,8292,1066,22,769.57,17728.74
2025-01-07,student credit card,6601,1633,63,3037.94,19200.06
2024-04-09,travel rewards card,1002,428,174,3209.37,4674.87
2025-10-25,best cashback credit card,5819,1236,173,2294.84,11651.15
2024-05-10,travel rewards card,9512,560,41,3614.8,9823.67
2025-10-23,best cashback credit card,8248,635,153,4344.88,10844.86
2024-11-04,best travel card,2421,854,50,3893.97,1136.33
2024-12-09,best travel card,955,1792,67,1246.23,18296.92
2025-05-06,small business credit card,1117,1888,180,1635.98,19102.75
2025-02-17,best travel card,5379,1954,86,1932.37,13765.46
2025-01-20,credit card for startups,7812,891,159,1058.64,5313.9
2024-07-10,best rewards card,4780,729,37,1838.12,15786.69
2024-10-03,business credit card,7172,1345,150,1228.33,14670.76
2024-06-09,credit card for startups,6724,953,27,4978.85,11576.89
2025-04-04,travel rewards card,295,1502,120,3927.09,3570.74
2024-11-09,travel rewards card,4794,403,130,4307.08,4183.34
2024-01-22,best travel card,9624,818,22,4614.63,11870.22
2024-09-09,business credit card,4751,881,181,3341.75,2750.73
2025-07-14,best rewards card,7091,1244,17,921.08,14533.81
2025-04-19,best cashback credit card,9809,876,112,3804.7,4409.48
2024-02-28,credit card for startups,2797,580,125,127.28,18227.5
2025-05-25,best rewards card,1157,1189,56,610.49,18014.56
2025-11-12,premium credit card,5307,643,159,196.44,6013.36
2025-04-20,airport lounge access card,2892,641,43,720.45,1851.06
2025-11-30,best travel card,520,818,121,3772.42,12306.03
2024-07-08,best cashback credit card,2914,331,181,4433.13,9078.61
2025-11-17,premium credit card,2940,1468,133,1430.26,3045.44
2025-07-16,best cashback credit card,1131,583,130,639.68,10723.33
2025-07-20,best cashback credit card,7739,1703,121,1401.15,19855.94
2024-08-31,best travel card,1591,1073,187,3253.21,1565.86
2025-05-19,best cashback credit card,5075,1787,132,1783.51,5425.13
2024-05-10,best rewards card,5047,1073,162,4807.67,10864.56
2025-04-29,best rewards card,609,1486,195,698.35,15908.55
2025-10-08,premium credit card,1959,879,112,4952.2,571.47
2024-01-21,travel rewards card,5161,1223,134,111.64,14708.65
2024-06-15,business credit card,1958,755,186,2285.88,2969.69
2024-09-30,credit card for startups,9205,1048,175,1296.47,16647.45
2025-01-22,credit card for startups,5707,1157,5,2853.11,13905.09
2025-08-23,student credit card,2165,1773,61,527.93,9238.92
2024-11-11,best travel card,3066,1932,56,4385.32,16467.35
2024-01-14,small business credit card,6873,1313,102,725.81,14714.36
2024-08-29,small business credit card,7992,946,163,2957.58,15231.84
2024-12-11,premium credit card,9888,968,119,215.07,5943.46
2025-07-18,best cashback credit card,4542,57,13,1589.41,12464.49
2024-12-05,best cashback credit card,9347,198,26,791.13,2993.9
2024-04-01,best travel card,9315,313,64,4890.34,16453.04
2025-01-01,airport lounge access card,3304,1592,139,109.51,10629.49
2025-03-30,travel rewards card,675,1729,62,1794.36,16532.7
2025-03-03,student credit card,298,1138,175,1548.74,4380.91
2025-05-23,best rewards card,7523,378,124,3304.0,2780.76
2024-02-04,best cashback credit card,1465,1534,70,329.07,13841.58
2024-07-24,student credit card,7934,469,75,4062.56,1356.27
2024-03-21,credit card for startups,2098,256,186,2359.29,5030.92
2025-07-15,airport lounge access card,5450,273,10,2291.22,18192.53
2025-01-22,best rewards card,6544,1239,144,1172.61,2828.61
2024-01-02,best travel card,1116,1540,12,2475.73,7636.01
2025-01-24,student credit card,3718,539,199,1851.27,18922.54
2025-07-19,premium credit card,125,1397,88,1263.43,596.06
2024-04-15,best rewards card,9850,1796,50,884.9,9017.24
2025-04-21,best travel card,3824,759,143,3655.26,15771.89
2025-12-03,small business credit card,3558,1373,59,753.11,18197.81
2025-02-05,best travel card,6693,416,198,881.51,14764.42
2025-12-30,best travel card,8762,462,62,2906.5,17790.16
2025-07-09,best rewards card,7380,1866,72,1169.08,880.49
2024-06-10,airport lounge access card,8169,1910,190,2323.91,2177.55
2024-07-20,best rewards card,4846,823,50,2786.94,14806.99
2024-09-26,business credit card,7689,587,54,1408.43,15115.9
2024-09-27,travel rewards card,9177,1881,54,1750.59,12184.37
2025-03-31,airport lounge access card,7078,974,156,1090.52,14659.47
2025-04-06,premium credit card,9167,1183,104,2329.1,17189.45
2025-12-27,airport lounge access card,9233,1226,51,4962.38,11000.55
2024-09-08,credit card for startups,3141,1941,74,1845.42,18957.02
2025-12-02,premium credit card,7865,156,161,3283.99,13945.91
2024-10-22,small business credit card,5504,415,129,3197.68,9545.25
2025-12-25,best rewards card,671,192,85,3943.09,8546.06
2025-12-20,best travel card,8896,1139,69,3574.0,15053.3
2024-12-03,best rewards card,5080,245,129,108.31,12683.29
2024-02-22,credit card for startups,8673,647,117,1580.62,16385.38
2024-08-04,student credit card,1336,967,55,4357.66,15663.53
2024-07-06,credit card for startups,2480,188,85,2720.77,10579.21
2025-01-14,business credit card,7277,441,89,565.91,18924.9
2025-05-07,best travel card,1617,1434,173,1416.88,14144.29
2024-02-10,best travel card,1633,534,73,1452.76,4176.62
2024-06-05,best cashback credit card,5987,752,80,4372.23,12446.05
2024-01-15,student credit card,7959,1573,168,2789.34,4195.9
2024-03-05,best cashback credit card,3589,1924,110,3061.2,11265.22
2025-06-04,small business credit card,4742,332,61,1866.97,15840.7
2024-12-09,travel rewards card,9162,1294,164,348.54,16287.61
2024-05-08,travel rewards card,2250,1645,103,422.48,13086.34
2025-10-09,best rewards card,5419,1733,113,2130.89,15709.46
2025-04-16,travel rewards card,3866,408,152,928.59,9550.27
2024-03-03,best travel card,5060,346,80,566.1,11102.99
2024-05-18,credit card for startups,6161,1333,142,1348.11,17616.22
2025-05-13,student credit card,5957,128,112,3723.13,9963.0
2025-08-15,best rewards card,4587,1591,98,411.44,7148.4
2025-01-26,best rewards card,7850,422,88,2268.72,15980.45
2025-11-05,student credit card,9904,589,100,4139.13,1199.38
2025-02-22,best travel card,1177,1417,120,1376.23,19175.47
2024-10-15,small business credit card,1400,1513,129,1544.28,6933.29
2025-01-13,small business credit card,6749,314,47,4426.83,12666.4
2025-05-04,best rewards card,7281,1716,149,3267.52,13772.01
2024-08-18,small business credit card,8238,1903,39,3998.67,2914.15
2024-02-10,best travel card,2629,205,3,1481.56,16492.63
2024-01-28,business credit card,3360,342,144,4984.06,11527.84
2024-05-14,business credit card,463,1053,68,747.44,6692.99
2024-07-19,best cashback credit card,945,632,154,4811.59,17043.58
2024-02-02,airport lounge access card,3132,667,182,4515.39,12576.59
2024-02-17,premium credit card,1427,713,13,2781.88,15758.41
2025-05-17,travel rewards card,8683,1466,189,2947.22,19847.73
2025-02-10,small business credit card,3355,892,20,3886.49,2779.47
2025-07-27,business credit card,5236,1459,83,1568.57,15042.01
2025-12-28,credit card for startups,7208,1262,27,2660.98,15201.89
2024-04-08,student credit card,3337,533,130,4516.76,17518.86
2025-11-14,airport lounge access card,9597,226,10,387.83,8279.7
2025-12-26,best cashback credit card,5768,999,188,4532.37,17419.1
2025-06-30,premium credit card,6412,1624,89,3657.45,12869.69
2025-09-04,business credit card,9056,384,19,3860.73,1561.69
2025-04-06,best cashback credit card,5565,45,143,370.35,824.03
2025-10-04,airport lounge access card,598,785,103,979.4,9733.41
2024-01-05,student credit card,6162,37,47,4630.05,15759.48
2024-08-05,travel rewards card,3044,1405,152,664.05,7807.78
2025-05-17,business credit card,8052,95,16,3174.36,17066.28
2025-02-01,student credit card,5956,197,81,3924.33,9944.02
2025-01-27,premium credit card,7938,314,188,1194.85,720.51
2024-07-25,small business credit card,6177,775,177,3509.01,19478.57
2024-01-15,airport lounge access card,235,1455,132,374.6,9894.31
2025-07-07,premium credit card,9392,89,194,2518.9,13072.69
2025-04-05,travel rewards card,4133,195,177,1705.44,4145.93
2025-11-21,student credit card,6800,1038,113,3246.42,6087.15
2025-07-28,best travel card,4213,567,159,4450.57,9788.83
2024-08-28,travel rewards card,6646,1899,66,671.18,17152.55
2025-07-17,best rewards card,8496,1530,54,2279.02,2218.69
2024-04-05,business credit card,4694,518,2,2144.81,15650.73
2025-04-29,small business credit card,661,1647,61,1652.79,11671.15
2025-02-10,airport lounge access card,5500,980,15,2426.83,10093.37
2024-08-18,credit card for startups,7433,1035,60,4409.61,17556.44
2025-10-16,student credit card,3414,226,112,4869.63,2538.78
2024-06-19,best travel card,4060,1570,43,64.07,19816.93
2025-06-24,credit card for startups,2311,266,93,3708.21,17121.74
2024-02-05,business credit card,2471,1768,168,3094.65,6649.59
2025-06-08,business credit card,7074,1486,30,4972.84,9141.21
2024-06-08,airport lounge access card,2781,1457,63,495.16,695.07
2025-11-29,best travel card,2906,333,24,4066.16,10646.58
2024-08-30,business credit card,2355,1532,172,4672.94,11044.85
2024-03-26,credit card for startups,9192,1614,14,4564.97,18546.2
2025-07-31,best travel card,6482,206,28,2824.83,7880.93
2025-11-12,credit card for startups,4999,513,142,1671.4,11498.24
2025-07-10,travel rewards card,3259,1305,184,3217.52,14864.22
2025-07-27,premium credit card,5756,703,108,1565.06,12248.63
2025-10-07,best travel card,1552,968,34,2090.73,3292.24
2024-01-28,best cashback credit card,9535,27,78,2256.34,3601.94
2025-09-11,premium credit card,2422,116,12,1544.65,2939.12
2025-07-09,premium credit card,9962,1562,184,1742.05,4511.03
2024-12-05,best travel card,7197,134,61,86.2,6700.93
2024-11-26,small business credit card,1868,492,105,1520.54,14845.41
2025-10-01,business credit card,6196,1627,189,2387.91,1406.33
2025-05-20,travel rewards card,5285,1037,40,906.39,16444.81
2024-12-13,small business credit card,1269,636,148,4037.64,5396.76
2025-04-17,small business credit card,4810,360,170,2711.3,12345.79
2024-08-18,best cashback credit card,6690,360,7,3979.71,11144.81
2024-07-08,student credit card,486,658,79,684.11,3249.64
2024-08-12,best travel card,2530,1832,121,4111.53,5888.48
2025-01-19,credit card for startups,1505,910,73,4793.4,6059.23
2025-01-11,business credit card,223,237,68,1794.65,12551.84
2024-10-09,small business credit card,4097,25,31,1455.56,15812.31
2025-09-24,travel rewards card,6009,1843,70,3251.82,19926.51
2025-09-19,student credit card,3996,434,47,3197.77,2098.77
2024-09-15,best cashback credit card,9916,473,179,606.72,18785.6
2024-12-24,best rewards card,8166,733,58,4637.46,11318.22
2025-12-10,business credit card,9473,1279,150,2421.33,7264.0
2025-03-31,best rewards card,827,1831,24,3833.86,5834.58
2025-02-14,premium credit card,7139,803,34,1828.62,4339.0
2025-10-10,small business credit card,7815,186,63,1344.61,11230.08
2024-11-13,airport lounge access card,3770,552,188,600.8,18931.14
2025-11-07,business credit card,1241,518,147,1408.87,3806.69
2024-08-12,credit card for startups,4131,1595,24,4967.48,8836.11
2024-08-21,student credit card,8650,1688,64,3306.9,4236.19
2025-11-14,travel rewards card,3842,573,148,4023.77,3677.48
2025-10-25,business credit card,2944,242,116,4794.62,17361.49
2025-01-08,credit card for startups,2311,1711,98,441.01,5386.86
2025-11-02,best travel card,1072,1071,27,865.24,5109.84
2025-08-30,best rewards card,460,500,186,4643.43,18213.89
2025-04-16,best travel card,2732,1026,44,2844.54,7843.6
2024-08-20,student credit card,3290,453,93,3192.5,372.59
2025-11-22,best cashback credit card,5048,29,65,2166.79,14479.48
2024-04-22,small business credit card,1724,1644,119,4081.42,10436.84
2025-05-11,business credit card,1856,1760,174,2610.36,15527.8
2025-03-17,airport lounge access card,7918,1589,54,4139.34,11491.83
2025-07-17,best rewards card,5219,120,120,4961.32,7155.09
2024-09-24,best rewards card,6126,496,167,3251.3,1517.97
2025-05-24,business credit card,8532,98,7,2667.63,17345.55
2025-01-20,premium credit card,7075,1352,54,1857.53,4300.28
2025-01-21,best travel card,1075,1151,43,1013.75,19432.69
2024-04-22,best rewards card,4418,443,20,3300.46,5067.54
2025-09-04,credit card for startups,6023,1951,84,360.05,16575.3
2025-09-16,travel rewards card,2413,1272,153,4783.62,15817.21
2024-03-21,small business credit card,9597,81,43,3255.4,9362.39
2025-11-29,best rewards card,887,831,127,4798.85,8153.74
2024-04-22,credit card for startups,2528,1938,155,1397.76,14124.54
2024-01-02,student credit card,8847,1432,153,4735.25,10665.34
2025-10-03,student credit card,6764,825,36,3080.02,12712.77
2024-08-07,small business credit card,9851,413,66,4060.81,9510.27
2025-07-19,premium credit card,7583,1708,121,935.67,11231.66
2024-08-12,airport lounge access card,1463,260,9,2525.55,3945.17
2025-01-19,small business credit card,4059,878,83,2866.35,1296.85
2025-02-06,best cashback credit card,8881,1228,79,1994.63,7247.29
2025-09-29,premium credit card,1849,1605,181,1303.5,9424.07
2024-05-09,best rewards card,6771,1643,21,4528.63,18139.39
2024-02-22,small business credit card,640,1963,178,471.04,8396.0
2025-11-14,best travel card,7734,877,16,812.24,8791.59
2025-12-30,student credit card,8582,1900,194,1636.53,13561.66
2025-11-02,credit card for startups,4035,1618,26,4602.86,4294.37
2025-12-10,small business credit card,4058,1255,172,2842.84,17458.46
2025-02-19,best travel card,3959,1664,29,1897.21,8667.29
2024-09-03,premium credit card,8150,1215,98,2043.26,18629.58
2025-03-14,best cashback credit card,9547,905,174,4197.0,5571.11
2024-07-21,credit card for startups,5431,1763,71,182.56,9418.73
2024-07-02,travel rewards card,8299,265,177,106.13,15607.59
2024-05-02,best cashback credit card,1757,1941,143,278.12,11207.35
2025-02-04,best rewards card,6285,1121,17,2372.56,13292.66
2024-10-20,best travel card,4528,882,137,2927.18,5757.79
2024-10-06,small business credit card,9548,1820,32,3141.12,6703.49
2025-09-01,small business credit card,7337,501,66,3669.13,10250.75
2024-07-16,business credit card,1139,345,59,989.13,4209.1
2025-05-25,student credit card,2216,1571,160,1348.31,2700.86
2024-05-23,best rewards card,8976,1440,111,1255.36,16907.29
2025-08-31,best travel card,4118,642,171,788.4,15542.12
2024-07-19,small business credit card,7646,1322,83,1259.76,18654.73
2024-05-03,travel rewards card,1924,371,110,3087.58,11813.73
2024-07-05,credit card for startups,3634,1474,59,1863.74,8521.25
2024-11-21,best rewards card,6770,1063,30,3851.17,2239.82
2025-04-08,premium credit card,8354,928,11,2705.27,17039.26
2024-12-14,travel rewards card,8552,1747,119,1099.59,9233.93
2025-10-21,credit card for startups,3671,903,154,2363.54,11310.45
2025-02-06,airport lounge access card,3292,1581,94,2987.18,6407.76
2024-12-11,student credit card,5053,646,2,4337.67,10572.68
2025-05-25,best rewards card,9780,1256,162,4176.9,15678.7
2024-05-26,best travel card,9422,756,169,2161.08,14302.74
2024-05-27,best cashback credit card,4375,1157,31,3256.0,19780.67
2025-12-11,credit card for startups,454,692,63,1524.13,10013.85
2025-05-03,premium credit card,5129,1012,183,3183.37,10688.05
2025-10-01,small business credit card,2874,1016,117,4568.32,1243.98
2025-07-04,best cashback credit card,688,1995,189,3141.49,7909.78
2024-12-03,travel rewards card,704,702,127,1553.67,18457.67
2025-10-02,student credit card,8465,224,36,3237.72,7139.43
2025-04-17,best travel card,453,127,40,4518.64,15369.01
2024-05-30,best cashback credit card,5534,236,23,728.38,19556.47
2025-02-18,premium credit card,533,900,154,2438.11,2711.6
2024-10-24,credit card for startups,8550,453,18,1639.2,6813.06
